Country,Alpha-3 Code,UN Region,UN Sub-Region,Sq Km
Afghanistan,AFG,Asia,Southern Asia,653000
Albania,ALB,Europe,Southern Europe,28800
Algeria,DZA,Africa,Northern Africa,2380000
Andorra,AND,Europe,Southern Europe,470
Angola,AGO,Africa,Sub-Saharan Africa,1250000
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,440
Argentina,ARG,Americas,Latin America and the Caribbean,2780000
Armenia,ARM,Asia,Western Asia,29700
Australia,AUS,Oceania,Australia and New Zealand,7740000
Austria,AUT,Europe,Western Europe,83900
Azerbaijan,AZE,Asia,Western Asia,86600
Bahamas,BHS,Americas,Latin America and the Caribbean,13900
Bahrain,BHR,Asia,Western Asia,778
Bangladesh,BGD,Asia,Southern Asia,148000
Barbados,BRB,Americas,Latin America and the Caribbean,430
Belarus,BLR,Europe,Eastern Europe,208000
Belgium,BEL,Europe,Western Europe,30500
Belize,BLZ,Americas,Latin America and the Caribbean,23000
Benin,BEN,Africa,Sub-Saharan Africa,115000
Bhutan,BTN,Asia,Southern Asia,38400
Bolivia,BOL,Americas,Latin America and the Caribbean,1100000
Bosnia and Herzegovina,BIH,Europe,Southern Europe,51200
Botswana,BWA,Africa,Sub-Saharan Africa,582000
Brazil,BRA,Americas,Latin America and the Caribbean,8520000
Brunei,BRN,Asia,South-eastern Asia,5770
Bulgaria,BGR,Europe,Eastern Europe,111000
Burkina Faso,BFA,Africa,Sub-Saharan Africa,274000
Burundi,BDI,Africa,Sub-Saharan Africa,27800
Cambodia,KHM,Asia,South-eastern Asia,181000
Cameroon,CMR,Africa,Sub-Saharan Africa,475000
Canada,CAN,Americas,Northern America,9980000
Cape Verde,CPV,Africa,Western Africa,4030
Central African Republic,CAF,Africa,Sub-Saharan Africa,623000
Chad,TCD,Africa,Sub-Saharan Africa,1280000
Chile,CHL,Americas,Latin America and the Caribbean,757000
China,CHN,Asia,Eastern Asia,9560000
Colombia,COL,Americas,Latin America and the Caribbean,1140000
Comoros,COM,Africa,Sub-Saharan Africa,1860
"Congo, Dem. Rep.",COD,Africa,Sub-Saharan Africa,2340000
"Congo, Rep.",COG,Africa,Sub-Saharan Africa,342000
Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,322000
Croatia,HRV,Europe,Southern Europe,56600
Cyprus,CYP,Asia,Western Asia,9250
Czech Republic,CZE,Europe,Eastern Europe,78900
Denmark,DNK,Europe,Northern Europe,42900
Djibouti,DJI,Africa,Sub-Saharan Africa,23200
Dominica,DMA,Americas,Latin America and the Caribbean,750
Dominican Republic,DOM,Americas,Latin America and the Caribbean,48700
Ecuador,ECU,Americas,Latin America and the Caribbean,256000
Egypt,EGY,Africa,Northern Africa,1000000
El Salvador,SLV,Americas,Latin America and the Caribbean,21000
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,28100
Estonia,EST,Europe,Northern Europe,45300
Eswatini,SWZ,Africa,Sub-Saharan Africa,17400
Ethiopia,ETH,Africa,Sub-Saharan Africa,1100000
Fiji,FJI,Oceania,Melanesia,18300
Finland,FIN,Europe,Northern Europe,338000
France,FRA,Europe,Western Europe,549000
Gabon,GAB,Africa,Sub-Saharan Africa,268000
Gambia,GMB,Africa,Sub-Saharan Africa,11300
Georgia,GEO,Asia,Western Asia,69700
Germany,DEU,Europe,Western Europe,358000
Ghana,GHA,Africa,Sub-Saharan Africa,239000
Greece,GRC,Europe,Southern Europe,132000
Grenada,GRD,Americas,Northern America,340
