Country,Alpha-3 Code,2011 Pop,2012 Pop,2013 Pop,2014 Pop,2015 Pop,2016 Pop,2017 Pop,2018 Pop,2019 Pop,2020 Pop
Afghanistan,AFG,30100000,31200000,32300000,33400000,34400000,35400000,36300000,37200000,38000000,38900000
Albania,ALB,2930000,2910000,2900000,2900000,2890000,2890000,2880000,2880000,2880000,2880000
Algeria,DZA,36700000,37400000,38100000,38900000,39700000,40600000,41400000,42200000,43100000,43900000
Andorra,AND,83700,82400,80800,79200,78000,77300,77000,77000,77100,77300
Angola,AGO,24200000,25100000,26000000,26900000,27900000,28800000,29800000,30800000,31800000,32900000
Antigua and Barbuda,ATG,89300,90400,91500,92600,93600,94500,95400,96300,97100,97900
Argentina,ARG,41300000,41800000,42200000,42600000,43100000,43500000,43900000,44400000,44800000,45200000
Armenia,ARM,2880000,2880000,2900000,2910000,2930000,2940000,2940000,2950000,2960000,2960000
Australia,AUS,22500000,22900000,23300000,23600000,23900000,24300000,24600000,24900000,25200000,25500000
Austria,AUT,8450000,8500000,8560000,8620000,8680000,8750000,8820000,8890000,8960000,9010000
Azerbaijan,AZE,9150000,9260000,9390000,9510000,9620000,9740000,9850000,9950000,10000000,10100000
Bahamas,BHS,360000,364000,367000,371000,374000,378000,382000,386000,389000,393000
Bahrain,BHR,1280000,1300000,1320000,1340000,1370000,1430000,1490000,1570000,1640000,1700000
Bangladesh,BGD,149000000,151000000,153000000,155000000,156000000,158000000,160000000,161000000,163000000,165000000
Barbados,BRB,283000,284000,284000,285000,285000,286000,286000,287000,287000,287000
Belarus,BLR,9420000,9420000,9420000,9430000,9440000,9450000,9450000,9450000,9450000,9450000
Belgium,BEL,11000000,11100000,11200000,11200000,11300000,11400000,11400000,11500000,11500000,11600000
Belize,BLZ,330000,338000,346000,353000,361000,368000,376000,383000,390000,398000
Benin,BEN,9460000,9730000,10000000,10300000,10600000,10900000,11200000,11500000,11800000,12100000
Bhutan,BTN,693000,702000,710000,719000,728000,737000,746000,754000,763000,772000
Bolivia,BOL,10200000,10400000,10500000,10700000,10900000,11000000,11200000,11400000,11500000,11700000
Bosnia and Herzegovina,BIH,3660000,3600000,3540000,3480000,3430000,3390000,3350000,3320000,3300000,3280000
Botswana,BWA,2020000,2040000,2060000,2090000,2120000,2160000,2210000,2250000,2300000,2350000
Brazil,BRA,198000000,199000000,201000000,203000000,204000000,206000000,208000000,209000000,211000000,213000000
Brunei,BRN,394000,399000,404000,410000,415000,420000,424000,429000,433000,437000
Bulgaria,BGR,7380000,7330000,7290000,7250000,7200000,7150000,7100000,7050000,7000000,6950000
Burkina Faso,BFA,16100000,16600000,17100000,17600000,18100000,18600000,19200000,19800000,20300000,20900000
Burundi,BDI,8960000,9250000,9540000,9840000,10200000,10500000,10800000,11200000,11500000,11900000
Cambodia,KHM,14500000,14800000,15000000,15300000,15500000,15800000,16000000,16200000,16500000,16700000
Cameroon,CMR,20900000,21500000,22100000,22700000,23300000,23900000,24600000,25200000,25900000,26500000
Canada,CAN,34500000,34900000,35300000,35700000,36000000,36400000,36700000,37100000,37400000,37700000
Cape Verde,CPV,499000,505000,512000,518000,525000,531000,537000,544000,550000,556000
Central African Republic,CAF,4420000,4440000,4450000,4460000,4490000,4540000,4600000,4670000,4750000,4830000
Chad,TCD,12400000,12800000,13200000,13700000,14100000,14600000,15000000,15500000,15900000,16400000
Chile,CHL,17200000,17400000,17600000,17800000,18000000,18200000,18500000,18700000,19000000,19100000
